,org_name,group_PAC_ID,state,ACO_PC_ID_1,ACO_name_1,ACO_PC_ID_2,ACO_name_2,measure_code,measure_title,inverse_measure,measure_performance_rate,denominator_count,star_value,five_star_benchmark,collection_type,from_PC_livesite
29777,DANIEL L MCLACHLAN JR LTD,7618935834,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,94.0,3609.0,None,None,ATT,N
29778,DANIEL L MCLACHLAN JR LTD,7618935834,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,12.0,3609.0,None,None,ATT,N
29794,ORTHOPEDIC and SPINE SURGERY ASSOC,8628965241,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,62.0,13125.0,None,None,ATT,N
29795,ORTHOPEDIC and SPINE SURGERY ASSOC,8628965241,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,9.0,463.0,None,None,ATT,N
29796,ORTHOPEDIC and SPINE SURGERY ASSOC,8628965241,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,77.0,9996.0,None,None,ATT,N
29797,ORTHOPEDIC and SPINE SURGERY ASSOC,8628965241,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,89.0,13125.0,None,None,ATT,N
29799,ORTHOPEDIC and SPINE SURGERY ASSOC,8628965241,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,48.0,13125.0,None,None,ATT,N
29800,ORTHOPEDIC and SPINE SURGERY ASSOC,8628965241,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,62.0,13125.0,None,None,ATT,N
29834,ALLINA HEALTH SYSTEM,4587573613,MN,V203,Allina Integrated Medical Network,None,None,MIPS_GRP_046_18-64,Medication Reconciliation Post-Discharge,N,49.0,238.0,None,None,WI,N
29835,ALLINA HEALTH SYSTEM,4587573613,MN,V203,Allina Integrated Medical Network,None,None,MIPS_GRP_046_65+,Medication Reconciliation Post-Discharge,N,58.0,576.0,None,None,WI,N
29836,ALLINA HEALTH SYSTEM,4587573613,MN,V203,Allina Integrated Medical Network,None,None,MIPS_GRP_046_overall,Medication Reconciliation Post-Discharge,N,56.0,823.0,None,None,WI,N
29837,ALLINA HEALTH SYSTEM,4587573613,MN,V203,Allina Integrated Medical Network,None,None,MIPS_GRP_110_overall,Preventive Care and Screening: Influenza Immunization,N,71.0,594.0,3.0,94.0,WI,Y
29838,ALLINA HEALTH SYSTEM,4587573613,MN,V203,Allina Integrated Medical Network,None,None,MIPS_GRP_111_overall,Pneumococcal Vaccination Status for Older Adults,N,88.0,601.0,4.0,94.0,WI,Y
29839,ALLINA HEALTH SYSTEM,4587573613,MN,V203,Allina Integrated Medical Network,None,None,MIPS_GRP_113_overall,Colorectal Cancer Screening,N,66.0,582.0,4.0,84.0,WI,Y
29840,ALLINA HEALTH SYSTEM,4587573613,MN,V203,Allina Integrated Medical Network,None,None,MIPS_GRP_134_overall,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,81.0,566.0,4.0,91.0,WI,Y
29841,ALLINA HEALTH SYSTEM,4587573613,MN,V203,Allina Integrated Medical Network,None,None,MIPS_GRP_226_overall,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,95.0,601.0,4.0,100.0,WI,Y
29842,ALLINA HEALTH SYSTEM,4587573613,MN,V203,Allina Integrated Medical Network,None,None,MIPS_GRP_318_overall,Falls: Screening for Future Fall Risk,N,57.0,598.0,3.0,99.0,WI,Y
29870,NORTHWEST COMMUNITY HEALTH SERVICES INC,3375737331,IL,A2302,"Illinois Health Partners ACO, LLC",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,99.0,109585.0,None,None,ATT,N
29871,NORTHWEST COMMUNITY HEALTH SERVICES INC,3375737331,IL,A2302,"Illinois Health Partners ACO, LLC",None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,9.0,3012.0,None,None,ATT,N
29872,NORTHWEST COMMUNITY HEALTH SERVICES INC,3375737331,IL,A2302,"Illinois Health Partners ACO, LLC",None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,97.0,33620.0,None,None,ATT,N
29873,NORTHWEST COMMUNITY HEALTH SERVICES INC,3375737331,IL,A2302,"Illinois Health Partners ACO, LLC",None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,98.0,62358.0,None,None,ATT,N
29874,NORTHWEST COMMUNITY HEALTH SERVICES INC,3375737331,IL,A2302,"Illinois Health Partners ACO, LLC",None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,44.0,62358.0,None,None,ATT,N
29878,NORTHWEST COMMUNITY HEALTH SERVICES INC,3375737331,IL,A2302,"Illinois Health Partners ACO, LLC",None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,96.0,60759.0,None,None,ATT,N
29879,NORTHWEST COMMUNITY HEALTH SERVICES INC,3375737331,IL,A2302,"Illinois Health Partners ACO, LLC",None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,29.0,62358.0,None,None,ATT,N
29935,SUBURBAN LUNG ASSOCIATES SC,4284627894,IL,A2620,"Cadence Health ACO, LLC",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,83.0,21040.0,None,None,ATT,N
29936,SUBURBAN LUNG ASSOCIATES SC,4284627894,IL,A2620,"Cadence Health ACO, LLC",None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,98.0,12450.0,None,None,ATT,N
29937,SUBURBAN LUNG ASSOCIATES SC,4284627894,IL,A2620,"Cadence Health ACO, LLC",None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,86.0,16591.0,None,None,ATT,N
29938,SUBURBAN LUNG ASSOCIATES SC,4284627894,IL,A2620,"Cadence Health ACO, LLC",None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,6.0,16951.0,None,None,ATT,N
29941,SUBURBAN LUNG ASSOCIATES SC,4284627894,IL,A2620,"Cadence Health ACO, LLC",None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,40.0,16951.0,None,None,ATT,N
29942,SUBURBAN LUNG ASSOCIATES SC,4284627894,IL,A2620,"Cadence Health ACO, LLC",None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,73.0,16951.0,None,None,ATT,N
29967,"NORTH SHORE ONCOLOGY-HEMATOLOGY ASSOCIATES, LTD.",3173564358,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,87.0,2853.0,None,None,ATT,N
29968,"NORTH SHORE ONCOLOGY-HEMATOLOGY ASSOCIATES, LTD.",3173564358,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,100.0,294.0,None,None,ATT,N
29969,"NORTH SHORE ONCOLOGY-HEMATOLOGY ASSOCIATES, LTD.",3173564358,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,82.0,619.0,None,None,ATT,N
29970,"NORTH SHORE ONCOLOGY-HEMATOLOGY ASSOCIATES, LTD.",3173564358,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,78.0,3986.0,None,None,ATT,N
29971,"NORTH SHORE ONCOLOGY-HEMATOLOGY ASSOCIATES, LTD.",3173564358,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,6.0,3986.0,None,None,ATT,N
29974,"NORTH SHORE ONCOLOGY-HEMATOLOGY ASSOCIATES, LTD.",3173564358,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,91.0,3986.0,None,None,ATT,N
29975,"NORTH SHORE ONCOLOGY-HEMATOLOGY ASSOCIATES, LTD.",3173564358,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,31.0,3986.0,None,None,ATT,N
29998,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,7618880766,IL,A3531,"UCMCNACO, LLC",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,93.0,25691.0,None,None,ATT,N
29999,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,7618880766,IL,A3531,"UCMCNACO, LLC",None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,0.0,3243.0,None,None,ATT,N
30000,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,7618880766,IL,A3531,"UCMCNACO, LLC",None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,88.0,53324.0,None,None,ATT,N
30001,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,7618880766,IL,A3531,"UCMCNACO, LLC",None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,90.0,58852.0,None,None,ATT,N
30002,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,7618880766,IL,A3531,"UCMCNACO, LLC",None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,45.0,58852.0,None,None,ATT,N
30007,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,7618880766,IL,A3531,"UCMCNACO, LLC",None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,97.0,58728.0,None,None,ATT,N
30008,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,7618880766,IL,A3531,"UCMCNACO, LLC",None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,32.0,58852.0,None,None,ATT,N
30037,"ARGIRO ZOFAKIS, LTD",1951599430,IL,A1257,Independent Physicians' ACO of Chicago LLC,None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,95.0,11582.0,None,None,ATT,N
30038,"ARGIRO ZOFAKIS, LTD",1951599430,IL,A1257,Independent Physicians' ACO of Chicago LLC,None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,12.0,810.0,None,None,ATT,N
30039,"ARGIRO ZOFAKIS, LTD",1951599430,IL,A1257,Independent Physicians' ACO of Chicago LLC,None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,100.0,206.0,None,None,ATT,N
30040,"ARGIRO ZOFAKIS, LTD",1951599430,IL,A1257,Independent Physicians' ACO of Chicago LLC,None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,81.0,1583.0,None,None,ATT,N
30041,"ARGIRO ZOFAKIS, LTD",1951599430,IL,A1257,Independent Physicians' ACO of Chicago LLC,None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,7.0,1583.0,None,None,ATT,N
30044,"ARGIRO ZOFAKIS, LTD",1951599430,IL,A1257,Independent Physicians' ACO of Chicago LLC,None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,99.0,1583.0,None,None,ATT,N
30045,"ARGIRO ZOFAKIS, LTD",1951599430,IL,A1257,Independent Physicians' ACO of Chicago LLC,None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,14.0,1583.0,None,None,ATT,N
30060,"BARRINGTON ANESTHESIA ASSOCIATES, SC",3870667256,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,MIPS_GRP_430_overall,Prevention of Post-Operative Nausea and Vomiting (PONV) - Combination Therapy,N,99.0,2060.0,None,None,REG,N
30065,PULMONARY AND CRITICAL CARE CONSULTANTS SC,2062407711,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,31.0,9487.0,None,None,ATT,N
30066,PULMONARY AND CRITICAL CARE CONSULTANTS SC,2062407711,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,94.0,5493.0,None,None,ATT,N
30067,PULMONARY AND CRITICAL CARE CONSULTANTS SC,2062407711,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,30.0,8833.0,None,None,ATT,N
30089,SOUTHWEST PHYSICIANS GROUP LTD,7416964366,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,82.0,4723.0,None,None,ATT,N
30090,SOUTHWEST PHYSICIANS GROUP LTD,7416964366,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,5.0,770.0,None,None,ATT,N
30091,SOUTHWEST PHYSICIANS GROUP LTD,7416964366,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,97.0,69.0,None,None,ATT,N
30092,SOUTHWEST PHYSICIANS GROUP LTD,7416964366,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,71.0,1347.0,None,None,ATT,N
30093,SOUTHWEST PHYSICIANS GROUP LTD,7416964366,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,9.0,1347.0,None,None,ATT,N
30097,SOUTHWEST PHYSICIANS GROUP LTD,7416964366,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,53.0,1347.0,None,None,ATT,N
30098,SOUTHWEST PHYSICIANS GROUP LTD,7416964366,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,41.0,1347.0,None,None,ATT,N
30099,HOBSON MEADOWS FAMILY MEDICINE S C,7517936842,IL,A2302,"Illinois Health Partners ACO, LLC",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,46.0,4172.0,None,None,ATT,N
30100,HOBSON MEADOWS FAMILY MEDICINE S C,7517936842,IL,A2302,"Illinois Health Partners ACO, LLC",None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,3.0,109.0,None,None,ATT,N
30101,HOBSON MEADOWS FAMILY MEDICINE S C,7517936842,IL,A2302,"Illinois Health Partners ACO, LLC",None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,92.0,341.0,None,None,ATT,N
30102,HOBSON MEADOWS FAMILY MEDICINE S C,7517936842,IL,A2302,"Illinois Health Partners ACO, LLC",None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,96.0,1244.0,None,None,ATT,N
30103,HOBSON MEADOWS FAMILY MEDICINE S C,7517936842,IL,A2302,"Illinois Health Partners ACO, LLC",None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,27.0,1244.0,None,None,ATT,N
30105,HOBSON MEADOWS FAMILY MEDICINE S C,7517936842,IL,A2302,"Illinois Health Partners ACO, LLC",None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,3.0,1244.0,None,None,ATT,N
30106,HOBSON MEADOWS FAMILY MEDICINE S C,7517936842,IL,A2302,"Illinois Health Partners ACO, LLC",None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,53.0,1244.0,None,None,ATT,N
30115,SALMON S GOLDBERG MD AND DAVID S CHUDWIN MDSC,6002873502,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,95.0,1398.0,None,None,ATT,N
30146,SOUTHWEST INFECTIOUS DISEASE ASSOCIATES LTD,8224092028,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,0.0,517.0,None,None,ATT,N
30182,THOMAS A PAVLOVIC MD SC,7517062680,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,99.0,83.0,None,None,ATT,N
30183,THOMAS A PAVLOVIC MD SC,7517062680,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,95.0,22.0,None,None,ATT,N
30184,THOMAS A PAVLOVIC MD SC,7517062680,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,95.0,151.0,None,None,ATT,N
30185,THOMAS A PAVLOVIC MD SC,7517062680,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,4.0,151.0,None,None,ATT,N
30187,THOMAS A PAVLOVIC MD SC,7517062680,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,100.0,151.0,None,None,ATT,N
30190,MIDWEST ANESTHESIOLOGISTS LTD,547165524,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,MIPS_GRP_044_overall,Coronary Artery Bypass Graft (CABG): Preoperative Beta-Blocker in Patients with Isolated CABG Surgery,N,100.0,62.0,None,None,REG,N
30191,MIDWEST ANESTHESIOLOGISTS LTD,547165524,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,MIPS_GRP_076_overall,Prevention of Central Venous Catheter (CVC) - Related Bloodstream Infections,N,100.0,35.0,None,None,REG,N
30192,MIDWEST ANESTHESIOLOGISTS LTD,547165524,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,MIPS_GRP_426_overall,Post-Anesthetic Transfer of Care Measure: Procedure Room to a Post Anesthesia Care Unit (PACU),N,99.0,7948.0,None,None,REG,N
30193,MIDWEST ANESTHESIOLOGISTS LTD,547165524,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,MIPS_GRP_427_overall,Post-Anesthetic Transfer of Care: Use of Checklist or Protocol for Direct Transfer of Care from Procedure Room to Intensive Care Unit (ICU),N,100.0,475.0,None,None,REG,N
30194,MIDWEST ANESTHESIOLOGISTS LTD,547165524,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,MIPS_GRP_430_overall,Prevention of Post-Operative Nausea and Vomiting (PONV) - Combination Therapy,N,100.0,2727.0,None,None,REG,N
30195,LAKE HEART SPECIALISTS,6305749490,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,94.0,4589.0,None,None,ATT,N
30196,LAKE HEART SPECIALISTS,6305749490,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,66.0,68.0,None,None,ATT,N
30197,LAKE HEART SPECIALISTS,6305749490,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,68.0,419.0,None,None,ATT,N
30198,LAKE HEART SPECIALISTS,6305749490,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,59.0,3679.0,None,None,ATT,N
30199,LAKE HEART SPECIALISTS,6305749490,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,15.0,3679.0,None,None,ATT,N
30202,LAKE HEART SPECIALISTS,6305749490,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,36.0,3583.0,None,None,ATT,N
30203,LAKE HEART SPECIALISTS,6305749490,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,2.0,3679.0,None,None,ATT,N
30214,ROCKFORD HEALTH PHYSICIAN,2567374036,IL,A2097,Mercy Health Corporation,None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,97.0,127173.0,None,None,ATT,N
30215,ROCKFORD HEALTH PHYSICIAN,2567374036,IL,A2097,Mercy Health Corporation,None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,36.0,3699.0,None,None,ATT,N
30216,ROCKFORD HEALTH PHYSICIAN,2567374036,IL,A2097,Mercy Health Corporation,None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,94.0,63322.0,None,None,ATT,N
30217,ROCKFORD HEALTH PHYSICIAN,2567374036,IL,A2097,Mercy Health Corporation,None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,97.0,52179.0,None,None,ATT,N
30218,ROCKFORD HEALTH PHYSICIAN,2567374036,IL,A2097,Mercy Health Corporation,None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,28.0,52179.0,None,None,ATT,N
30222,ROCKFORD HEALTH PHYSICIAN,2567374036,IL,A2097,Mercy Health Corporation,None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,97.0,52167.0,None,None,ATT,N
30223,ROCKFORD HEALTH PHYSICIAN,2567374036,IL,A2097,Mercy Health Corporation,None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,37.0,52179.0,None,None,ATT,N
30227,"METRO CARDIOVASCULAR CONSULTANTS, LTD",9032128285,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,100.0,1335.0,None,None,ATT,N
30228,"METRO CARDIOVASCULAR CONSULTANTS, LTD",9032128285,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,3.0,260.0,None,None,ATT,N
30229,"METRO CARDIOVASCULAR CONSULTANTS, LTD",9032128285,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,100.0,1324.0,None,None,ATT,N
30230,"METRO CARDIOVASCULAR CONSULTANTS, LTD",9032128285,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,3.0,721.0,None,None,ATT,N
30231,"METRO CARDIOVASCULAR CONSULTANTS, LTD",9032128285,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,0.0,721.0,None,None,ATT,N
30235,"METRO CARDIOVASCULAR CONSULTANTS, LTD",9032128285,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,34.0,721.0,None,None,ATT,N
30236,"METRO CARDIOVASCULAR CONSULTANTS, LTD",9032128285,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,3.0,264.0,None,None,ATT,N
30263,ILLINOIS UROLOGICAL INSTITUTE,6204897226,IL,A2620,"Cadence Health ACO, LLC",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,84.0,1209.0,None,None,ATT,N
30264,ILLINOIS UROLOGICAL INSTITUTE,6204897226,IL,A2620,"Cadence Health ACO, LLC",None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,75.0,20.0,None,None,ATT,N
30265,ILLINOIS UROLOGICAL INSTITUTE,6204897226,IL,A2620,"Cadence Health ACO, LLC",None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,77.0,1505.0,None,None,ATT,N
30266,ILLINOIS UROLOGICAL INSTITUTE,6204897226,IL,A2620,"Cadence Health ACO, LLC",None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,20.0,1505.0,None,None,ATT,N
30268,ILLINOIS UROLOGICAL INSTITUTE,6204897226,IL,A2620,"Cadence Health ACO, LLC",None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,66.0,1505.0,None,None,ATT,N
30269,ILLINOIS UROLOGICAL INSTITUTE,6204897226,IL,A2620,"Cadence Health ACO, LLC",None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,8.0,1505.0,None,None,ATT,N
30270,LOYOLA UNIVERSITY MEDICAL CENTER,3779488903,IL,V125,Trinity Health ACO Inc.,None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,100.0,636103.0,None,None,ATT,N
30271,LOYOLA UNIVERSITY MEDICAL CENTER,3779488903,IL,V125,Trinity Health ACO Inc.,None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,0.0,9259.0,None,None,ATT,N
30272,LOYOLA UNIVERSITY MEDICAL CENTER,3779488903,IL,V125,Trinity Health ACO Inc.,None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,88.0,439427.0,None,None,ATT,N
30273,LOYOLA UNIVERSITY MEDICAL CENTER,3779488903,IL,V125,Trinity Health ACO Inc.,None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,96.0,214072.0,None,None,ATT,N
30274,LOYOLA UNIVERSITY MEDICAL CENTER,3779488903,IL,V125,Trinity Health ACO Inc.,None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,33.0,214072.0,None,None,ATT,N
30279,LOYOLA UNIVERSITY MEDICAL CENTER,3779488903,IL,V125,Trinity Health ACO Inc.,None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,95.0,198162.0,None,None,ATT,N
30280,LOYOLA UNIVERSITY MEDICAL CENTER,3779488903,IL,V125,Trinity Health ACO Inc.,None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,34.0,214072.0,None,None,ATT,N
30284,"INSTEP PODIATRY, P.C.",8820188584,IL,A2620,"Cadence Health ACO, LLC",None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,100.0,1254.0,None,None,ATT,N
30285,"INSTEP PODIATRY, P.C.",8820188584,IL,A2620,"Cadence Health ACO, LLC",None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,41.0,659.0,None,None,ATT,N
30286,"INSTEP PODIATRY, P.C.",8820188584,IL,A2620,"Cadence Health ACO, LLC",None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,1.0,659.0,None,None,ATT,N
30288,"INSTEP PODIATRY, P.C.",8820188584,IL,A2620,"Cadence Health ACO, LLC",None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,88.0,659.0,None,None,ATT,N
30289,"INSTEP PODIATRY, P.C.",8820188584,IL,A2620,"Cadence Health ACO, LLC",None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,0.0,659.0,None,None,ATT,N
30290,"FAMILY MEDICINE SPECIALISTS, INCORPORATED",42206252,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,87.0,19785.0,None,None,ATT,N
30291,"FAMILY MEDICINE SPECIALISTS, INCORPORATED",42206252,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,0.0,1454.0,None,None,ATT,N
